,Name,Location,Rating,Total Review,Price,After Dicount
24,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
25,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
26,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
27,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
28,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
29,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
30,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
31,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
32,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
33,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
34,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
35,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
36,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
37,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
38,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
39,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
40,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
41,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
